,address,timestamp,amountStaked
271,0xab93bf0635ccf8e6e1e136922f1c793c3f4f6014,2022-08-06T04:51:39,8
272,0xaec9bb8e36fddcbc644b3a77216327834ceb9e15,2022-08-07T00:38:50,54
273,0x37b3805388479f7b47940b8c190c9e32efd82fb5,2022-08-07T04:52:56,107
274,0x3f60008dfd0efc03f476d9b489d6c5b13b3ebf2c,2022-08-09T01:18:35,1000
0,0xca1af846c9194e82561dd9a93ffc9a9c851b3b1c,2022-03-07T16:01:16,1260000.0
1,0x5584cf54ade7c81ab6d6bc870c714f87fc0a7721,2022-03-07T16:01:16,4500.0
2,0x5a756d9c7caa740e0342f755fa8ad32e6f83726b,2022-03-07T16:01:29,90.9
3,0x82bbf2b4dc52d24cbe0cbb6540bd4d4ceb2870b7,2022-03-07T16:02:01,1800.0
4,0xc4676e5e99b823e54b3e6c32c8143bb441633eea,2022-03-07T16:02:40,468.0
5,0x236884bb674067c96fcbcc5dff728141e05be99d,2022-03-07T16:02:40,994.5
6,0xe400820f3d60d77a3ec8018d44366ed0d334f93c,2022-03-07T16:03:36,90.0
7,0x543298794e7e195c8628f65d16fb7fcf7d096cb0,2022-03-07T16:03:36,9002.7
8,0x7d51910845011b41cc32806644da478feff2f11f,2022-03-07T16:03:47,91269.0
9,0x6a04941de896e4215eeb8e6eb1b72ad2904d2402,2022-03-07T16:03:47,1125000.0
10,0xbbf6507bcab4128ab99aa89b3ee750880ff5d56b,2022-03-07T16:03:51,18000.0
11,0xdd4a19dc351ba42421db282196af38b433aa86ba,2022-03-07T16:04:21,904.5
12,0xf977bf5f5ccb1bfd868bd95d563294494f0d5d89,2022-03-07T16:04:31,903.6
13,0xe1d1c5f48f708aa038aa6a9976308cd1d19d951a,2022-03-07T16:04:31,904.5
14,0xfb28bb6cfcf19cb8784472226ccd13f2e5224000,2022-03-07T16:05:51,4500.0
15,0xeeec0e4927704ab3bbe5df7f4effa818b43665a3,2022-03-07T16:06:47,3746.7
16,0x9497243478392b1f7f508874f606379f989c6eea,2022-03-07T16:07:24,992.7
